0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
19.0,7.0,6.0,4.0,8.0,9.0,16.0,31.0,37.0,39.0,32.0,35.0,46.0,37.0,24.0,49.0,55.0,60.0,99.0,73.0,57.0,16.0,6.0,4.0
3.0,1.0,3.0,9.0,26.0,63.0,53.0,53.0,38.0,51.0,48.0,51.0,58.0,56.0,104.0,65.0,55.0,47.0,42.0,28.0,14.0,7.0,5.0,3.0
5.0,1.0,2.0,15.0,25.0,45.0,41.0,37.0,50.0,36.0,55.0,70.0,86.0,80.0,82.0,66.0,109.0,89.0,68.0,49.0,18.0,11.0,8.0,2.0
6.0,7.0,4.0,4.0,7.0,24.0,31.0,35.0,58.0,70.0,71.0,89.0,138.0,167.0,162.0,119.0,89.0,65.0,40.0,42.0,32.0,15.0,10.0,5.0
1.0,3.0,1.0,3.0,6.0,6.0,13.0,20.0,34.0,48.0,27.0,41.0,67.0,49.0,47.0,48.0,58.0,40.0,44.0,37.0,20.0,3.0,3.0,4.0
0.0,2.0,6.0,15.0,32.0,52.0,33.0,49.0,41.0,48.0,60.0,48.0,54.0,65.0,67.0,60.0,59.0,55.0,32.0,42.0,14.0,9.0,5.0,4.0
6.0,2.0,2.0,12.0,30.0,55.0,52.0,44.0,41.0,53.0,47.0,45.0,53.0,73.0,76.0,57.0,55.0,34.0,31.0,19.0,9.0,6.0,4.0,2.0
3.0,5.0,4.0,17.0,31.0,29.0,49.0,43.0,34.0,62.0,49.0,55.0,77.0,87.0,130.0,103.0,91.0,101.0,132.0,69.0,38.0,20.0,4.0,4.0
5.0,2.0,3.0,6.0,5.0,6.0,15.0,32.0,31.0,34.0,50.0,53.0,55.0,42.0,49.0,53.0,44.0,45.0,26.0,27.0,17.0,6.0,6.0,4.0
4.0,2.0,2.0,8.0,9.0,28.0,28.0,35.0,54.0,69.0,67.0,86.0,93.0,73.0,56.0,65.0,57.0,82.0,76.0,71.0,51.0,11.0,8.0,4.0
4.0,3.0,1.0,2.0,9.0,14.0,18.0,24.0,54.0,78.0,76.0,70.0,211.0,201.0,223.0,151.0,87.0,81.0,51.0,42.0,25.0,25.0,15.0,4.0
8.0,4.0,3.0,3.0,6.0,6.0,27.0,27.0,47.0,80.0,69.0,94.0,64.0,66.0,74.0,58.0,72.0,30.0,32.0,26.0,18.0,8.0,2.0,3.0
3.0,3.0,1.0,15.0,37.0,49.0,51.0,44.0,41.0,59.0,44.0,51.0,50.0,85.0,105.0,63.0,40.0,33.0,20.0,20.0,16.0,5.0,8.0,5.0
3.0,6.0,6.0,10.0,36.0,34.0,55.0,40.0,40.0,52.0,36.0,58.0,59.0,65.0,66.0,65.0,60.0,28.0,26.0,20.0,12.0,7.0,7.0,0.0
3.0,2.0,6.0,20.0,23.0,44.0,41.0,47.0,36.0,38.0,62.0,39.0,44.0,75.0,85.0,79.0,57.0,81.0,58.0,50.0,52.0,14.0,4.0,1.0
5.0,2.0,4.0,22.0,33.0,46.0,52.0,53.0,42.0,37.0,43.0,33.0,50.0,95.0,98.0,103.0,65.0,43.0,43.0,25.0,27.0,8.0,7.0,7.0
5.0,6.0,3.0,13.0,34.0,32.0,37.0,47.0,46.0,71.0,94.0,92.0,89.0,101.0,85.0,95.0,76.0,74.0,72.0,71.0,41.0,18.0,6.0,5.0
2.0,1.0,4.0,6.0,7.0,10.0,25.0,48.0,47.0,55.0,76.0,74.0,122.0,187.0,158.0,142.0,85.0,105.0,75.0,63.0,48.0,12.0,11.0,6.0
3.0,3.0,5.0,0.0,4.0,10.0,17.0,22.0,39.0,33.0,61.0,72.0,90.0,86.0,75.0,81.0,136.0,147.0,116.0,138.0,54.0,12.0,9.0,13.0
6.0,3.0,3.0,6.0,5.0,4.0,10.0,20.0,34.0,38.0,41.0,30.0,42.0,43.0,59.0,43.0,41.0,31.0,27.0,22.0,13.0,7.0,4.0,4.0
4.0,1.0,3.0,17.0,28.0,40.0,42.0,60.0,45.0,51.0,55.0,68.0,69.0,64.0,98.0,88.0,56.0,42.0,22.0,11.0,10.0,8.0,4.0,1.0
6.0,3.0,3.0,14.0,40.0,48.0,35.0,36.0,31.0,41.0,57.0,40.0,50.0,91.0,91.0,80.0,40.0,27.0,22.0,14.0,13.0,5.0,5.0,1.0
1.0,4.0,3.0,15.0,29.0,51.0,39.0,55.0,50.0,42.0,60.0,55.0,67.0,85.0,85.0,93.0,62.0,45.0,28.0,24.0,16.0,7.0,2.0,3.0
4.0,2.0,1.0,8.0,21.0,35.0,41.0,37.0,33.0,49.0,57.0,87.0,75.0,96.0,90.0,75.0,68.0,45.0,25.0,22.0,19.0,12.0,9.0,5.0
1.0,4.0,2.0,10.0,4.0,11.0,29.0,42.0,52.0,53.0,74.0,79.0,89.0,85.0,96.0,84.0,95.0,76.0,50.0,34.0,25.0,20.0,12.0,8.0
11.0,5.0,6.0,1.0,7.0,4.0,12.0,34.0,28.0,54.0,55.0,43.0,34.0,27.0,40.0,46.0,43.0,28.0,19.0,15.0,9.0,3.0,4.0,2.0
5.0,2.0,4.0,16.0,33.0,41.0,54.0,57.0,39.0,31.0,44.0,36.0,48.0,63.0,69.0,59.0,51.0,27.0,30.0,21.0,15.0,9.0,7.0,2.0
3.0,3.0,7.0,16.0,29.0,47.0,75.0,47.0,34.0,37.0,47.0,37.0,61.0,68.0,92.0,57.0,48.0,24.0,21.0,17.0,9.0,8.0,2.0,2.0
3.0,4.0,3.0,16.0,25.0,43.0,40.0,40.0,40.0,38.0,47.0,35.0,61.0,85.0,93.0,91.0,57.0,55.0,34.0,27.0,34.0,11.0,6.0,3.0
4.0,3.0,3.0,12.0,35.0,39.0,45.0,44.0,37.0,35.0,57.0,55.0,50.0,99.0,93.0,77.0,61.0,41.0,33.0,23.0,17.0,12.0,2.0,2.0
6.0,2.0,3.0,10.0,28.0,35.0,39.0,42.0,48.0,68.0,56.0,71.0,102.0,98.0,97.0,64.0,69.0,55.0,51.0,40.0,28.0,24.0,5.0,4.0
6.0,2.0,1.0,3.0,9.0,14.0,25.0,35.0,63.0,63.0,76.0,68.0,80.0,64.0,84.0,65.0,77.0,59.0,52.0,31.0,24.0,34.0,23.0,16.0
11.0,3.0,0.0,4.0,4.0,9.0,11.0,18.0,33.0,41.0,52.0,48.0,68.0,85.0,69.0,60.0,55.0,63.0,59.0,41.0,18.0,3.0,2.0,4.0
6.0,1.0,4.0,16.0,29.0,44.0,45.0,43.0,38.0,44.0,37.0,44.0,62.0,78.0,91.0,70.0,46.0,26.0,36.0,17.0,16.0,9.0,5.0,3.0
3.0,3.0,4.0,16.0,30.0,44.0,55.0,41.0,33.0,42.0,54.0,42.0,39.0,64.0,87.0,63.0,62.0,78.0,51.0,44.0,25.0,6.0,6.0,2.0
5.0,4.0,3.0,23.0,26.0,59.0,54.0,41.0,48.0,34.0,34.0,48.0,78.0,57.0,74.0,58.0,54.0,46.0,28.0,18.0,7.0,12.0,2.0,4.0
7.0,4.0,3.0,14.0,27.0,48.0,46.0,48.0,46.0,42.0,46.0,40.0,55.0,81.0,97.0,69.0,60.0,51.0,31.0,32.0,16.0,6.0,3.0,0.0
5.0,4.0,5.0,9.0,27.0,23.0,53.0,60.0,46.0,40.0,81.0,61.0,90.0,64.0,74.0,64.0,40.0,47.0,29.0,18.0,30.0,14.0,9.0,4.0
4.0,2.0,6.0,6.0,2.0,20.0,18.0,41.0,52.0,84.0,79.0,77.0,62.0,58.0,40.0,48.0,59.0,42.0,34.0,15.0,22.0,14.0,12.0,6.0
5.0,5.0,3.0,5.0,11.0,7.0,10.0,23.0,38.0,43.0,51.0,50.0,53.0,74.0,69.0,46.0,58.0,31.0,13.0,21.0,17.0,11.0,6.0,5.0
2.0,4.0,3.0,20.0,34.0,47.0,53.0,46.0,46.0,42.0,33.0,57.0,59.0,71.0,96.0,59.0,53.0,27.0,23.0,19.0,8.0,4.0,5.0,0.0
3.0,2.0,4.0,17.0,28.0,59.0,46.0,52.0,44.0,43.0,40.0,53.0,50.0,74.0,90.0,99.0,64.0,34.0,31.0,27.0,22.0,11.0,2.0,2.0
7.0,1.0,6.0,13.0,31.0,43.0,56.0,40.0,38.0,52.0,50.0,39.0,75.0,55.0,86.0,78.0,42.0,32.0,27.0,22.0,13.0,7.0,6.0,4.0
5.0,2.0,2.0,15.0,36.0,48.0,57.0,33.0,42.0,44.0,68.0,57.0,75.0,88.0,84.0,79.0,53.0,26.0,25.0,25.0,14.0,11.0,4.0,2.0
6.0,4.0,4.0,10.0,35.0,39.0,56.0,67.0,50.0,56.0,67.0,71.0,94.0,95.0,74.0,56.0,82.0,35.0,43.0,24.0,25.0,16.0,10.0,5.0
2.0,3.0,2.0,2.0,4.0,11.0,22.0,32.0,37.0,46.0,76.0,54.0,69.0,54.0,46.0,77.0,41.0,52.0,50.0,19.0,25.0,25.0,6.0,10.0
4.0,5.0,2.0,2.0,6.0,5.0,17.0,22.0,29.0,31.0,41.0,75.0,53.0,47.0,44.0,40.0,39.0,30.0,29.0,17.0,10.0,5.0,7.0,5.0
2.0,1.0,2.0,14.0,29.0,38.0,50.0,37.0,37.0,38.0,45.0,41.0,40.0,67.0,50.0,54.0,42.0,20.0,14.0,12.0,12.0,4.0,2.0,0.0
2.0,4.0,4.0,7.0,30.0,41.0,51.0,31.0,36.0,32.0,62.0,53.0,49.0,71.0,95.0,94.0,70.0,45.0,48.0,17.0,7.0,10.0,5.0,4.0
1.0,2.0,3.0,21.0,31.0,52.0,55.0,37.0,33.0,48.0,46.0,54.0,65.0,71.0,86.0,64.0,36.0,23.0,28.0,18.0,11.0,5.0,4.0,1.0
5.0,1.0,3.0,10.0,29.0,42.0,49.0,42.0,42.0,50.0,51.0,55.0,38.0,73.0,97.0,68.0,42.0,29.0,40.0,25.0,9.0,12.0,5.0,3.0
4.0,2.0,3.0,13.0,31.0,36.0,38.0,47.0,25.0,56.0,74.0,77.0,78.0,76.0,76.0,64.0,42.0,45.0,45.0,23.0,20.0,10.0,7.0,6.0
5.0,1.0,1.0,5.0,9.0,11.0,20.0,37.0,40.0,66.0,65.0,73.0,65.0,64.0,67.0,94.0,61.0,37.0,52.0,24.0,27.0,17.0,10.0,3.0
5.0,3.0,1.0,2.0,6.0,7.0,12.0,29.0,28.0,36.0,45.0,47.0,50.0,43.0,31.0,41.0,39.0,44.0,40.0,32.0,11.0,14.0,3.0,3.0
4.0,1.0,4.0,18.0,25.0,36.0,45.0,53.0,31.0,39.0,46.0,50.0,61.0,68.0,85.0,58.0,39.0,25.0,25.0,15.0,9.0,10.0,4.0,0.0
5.0,3.0,1.0,10.0,32.0,33.0,41.0,42.0,36.0,45.0,42.0,40.0,42.0,60.0,82.0,94.0,42.0,42.0,26.0,24.0,6.0,6.0,3.0,2.0
2.0,5.0,3.0,15.0,34.0,47.0,36.0,33.0,27.0,44.0,47.0,45.0,45.0,70.0,82.0,55.0,53.0,29.0,32.0,15.0,11.0,8.0,3.0,4.0
3.0,1.0,5.0,11.0,34.0,22.0,43.0,43.0,34.0,31.0,32.0,52.0,53.0,78.0,80.0,64.0,41.0,38.0,30.0,12.0,9.0,2.0,1.0,6.0
8.0,0.0,4.0,8.0,22.0,21.0,42.0,53.0,25.0,50.0,59.0,46.0,84.0,104.0,66.0,67.0,46.0,40.0,31.0,21.0,21.0,9.0,4.0,3.0
3.0,2.0,6.0,2.0,7.0,16.0,22.0,44.0,56.0,51.0,67.0,58.0,58.0,61.0,48.0,53.0,63.0,110.0,105.0,63.0,65.0,31.0,14.0,5.0
8.0,2.0,1.0,5.0,6.0,10.0,6.0,18.0,27.0,37.0,48.0,59.0,43.0,37.0,52.0,56.0,35.0,34.0,12.0,11.0,14.0,8.0,3.0,2.0
2.0,1.0,3.0,17.0,27.0,31.0,37.0,38.0,37.0,32.0,37.0,42.0,59.0,70.0,89.0,67.0,34.0,28.0,32.0,27.0,17.0,10.0,5.0,2.0
4.0,3.0,1.0,16.0,33.0,46.0,35.0,44.0,34.0,41.0,37.0,48.0,60.0,74.0,87.0,79.0,61.0,68.0,110.0,98.0,53.0,14.0,6.0,4.0
2.0,3.0,3.0,13.0,45.0,48.0,40.0,51.0,36.0,39.0,42.0,44.0,57.0,65.0,77.0,77.0,68.0,47.0,22.0,13.0,13.0,9.0,2.0,0.0
2.0,2.0,4.0,15.0,25.0,45.0,41.0,31.0,39.0,44.0,43.0,60.0,62.0,81.0,98.0,100.0,42.0,32.0,27.0,29.0,19.0,9.0,4.0,4.0
3.0,2.0,2.0,12.0,25.0,37.0,38.0,33.0,39.0,53.0,93.0,77.0,96.0,89.0,82.0,86.0,50.0,50.0,30.0,29.0,21.0,20.0,18.0,7.0
9.0,3.0,4.0,7.0,8.0,17.0,21.0,29.0,42.0,64.0,68.0,46.0,56.0,56.0,68.0,61.0,36.0,39.0,39.0,19.0,25.0,10.0,12.0,4.0
13.0,4.0,3.0,3.0,10.0,8.0,11.0,29.0,35.0,38.0,35.0,36.0,41.0,32.0,33.0,52.0,55.0,40.0,24.0,22.0,13.0,6.0,1.0,0.0
1.0,0.0,5.0,17.0,40.0,45.0,43.0,41.0,50.0,36.0,46.0,50.0,51.0,57.0,70.0,58.0,44.0,14.0,17.0,19.0,8.0,7.0,5.0,3.0
3.0,2.0,3.0,15.0,35.0,32.0,46.0,45.0,33.0,49.0,66.0,47.0,54.0,74.0,80.0,58.0,54.0,34.0,31.0,13.0,11.0,4.0,3.0,5.0
5.0,1.0,3.0,14.0,42.0,36.0,32.0,50.0,45.0,37.0,55.0,57.0,43.0,64.0,68.0,55.0,52.0,32.0,27.0,19.0,13.0,15.0,12.0,2.0
2.0,6.0,4.0,11.0,50.0,35.0,32.0,56.0,45.0,41.0,50.0,39.0,81.0,93.0,79.0,72.0,53.0,36.0,26.0,25.0,19.0,6.0,3.0,2.0
3.0,1.0,6.0,8.0,21.0,30.0,30.0,42.0,48.0,48.0,56.0,84.0,97.0,98.0,70.0,85.0,72.0,48.0,43.0,33.0,28.0,27.0,8.0,8.0
8.0,5.0,3.0,7.0,5.0,13.0,27.0,35.0,47.0,67.0,83.0,86.0,87.0,81.0,75.0,67.0,85.0,53.0,50.0,33.0,39.0,22.0,13.0,7.0
9.0,3.0,4.0,7.0,3.0,13.0,17.0,30.0,35.0,34.0,37.0,61.0,50.0,52.0,44.0,33.0,45.0,31.0,32.0,19.0,13.0,5.0,2.0,5.0
4.0,1.0,3.0,17.0,24.0,34.0,36.0,50.0,49.0,39.0,29.0,39.0,58.0,68.0,99.0,59.0,35.0,25.0,19.0,13.0,9.0,3.0,3.0,1.0
2.0,2.0,1.0,14.0,26.0,42.0,29.0,44.0,45.0,52.0,45.0,44.0,52.0,65.0,85.0,58.0,42.0,29.0,22.0,8.0,8.0,3.0,7.0,2.0
3.0,2.0,0.0,17.0,22.0,39.0,41.0,36.0,39.0,62.0,61.0,65.0,80.0,61.0,97.0,91.0,65.0,46.0,46.0,29.0,25.0,4.0,4.0,3.0
2.0,3.0,3.0,11.0,27.0,28.0,27.0,34.0,36.0,43.0,45.0,43.0,66.0,50.0,65.0,58.0,57.0,29.0,22.0,20.0,9.0,8.0,6.0,1.0
2.0,5.0,4.0,10.0,29.0,19.0,40.0,52.0,60.0,55.0,48.0,62.0,73.0,75.0,66.0,83.0,83.0,89.0,91.0,62.0,85.0,35.0,13.0,2.0
2.0,3.0,2.0,2.0,10.0,18.0,44.0,77.0,43.0,62.0,62.0,77.0,63.0,43.0,43.0,62.0,64.0,66.0,40.0,29.0,43.0,39.0,7.0,3.0
1.0,1.0,1.0,2.0,7.0,8.0,20.0,26.0,35.0,27.0,45.0,53.0,39.0,35.0,33.0,35.0,36.0,27.0,19.0,15.0,11.0,6.0,4.0,4.0
8.0,2.0,5.0,10.0,21.0,38.0,40.0,49.0,31.0,51.0,63.0,51.0,46.0,66.0,52.0,56.0,34.0,19.0,22.0,17.0,11.0,10.0,4.0,2.0
4.0,6.0,1.0,13.0,17.0,38.0,28.0,31.0,27.0,40.0,39.0,44.0,46.0,62.0,80.0,74.0,60.0,40.0,36.0,28.0,28.0,23.0,8.0,4.0
3.0,4.0,7.0,13.0,25.0,33.0,29.0,29.0,43.0,51.0,49.0,49.0,66.0,56.0,63.0,58.0,57.0,28.0,29.0,17.0,24.0,15.0,2.0,2.0
3.0,2.0,4.0,13.0,28.0,28.0,35.0,31.0,34.0,59.0,44.0,41.0,56.0,69.0,64.0,56.0,48.0,27.0,26.0,23.0,21.0,6.0,3.0,2.0
3.0,3.0,2.0,9.0,13.0,30.0,23.0,39.0,48.0,62.0,49.0,78.0,73.0,58.0,61.0,47.0,51.0,29.0,25.0,19.0,21.0,16.0,10.0,5.0
10.0,2.0,1.0,3.0,7.0,10.0,13.0,31.0,46.0,59.0,96.0,83.0,72.0,49.0,51.0,68.0,58.0,31.0,26.0,21.0,23.0,18.0,8.0,5.0
4.0,3.0,2.0,1.0,7.0,5.0,19.0,21.0,34.0,42.0,55.0,33.0,55.0,43.0,41.0,46.0,33.0,35.0,26.0,13.0,11.0,7.0,4.0,4.0
3.0,3.0,6.0,9.0,24.0,28.0,38.0,39.0,47.0,37.0,44.0,47.0,51.0,55.0,79.0,66.0,30.0,38.0,19.0,20.0,14.0,4.0,3.0,2.0
1.0,1.0,2.0,10.0,26.0,36.0,32.0,45.0,34.0,52.0,44.0,52.0,52.0,69.0,58.0,61.0,44.0,25.0,22.0,15.0,13.0,0.0,3.0,1.0
